time,baseline_effective_mass,gated_effective_mass,baseline_gap,gated_gap,baseline_chern,gated_chern,baseline_transition_margin,gated_transition_margin
9.1000,1.285259,1.248049,1.457207,1.526963,1,1,0.714741,0.751951
9.1500,1.285973,1.249589,1.455873,1.524067,1,1,0.714027,0.750411
9.2000,1.286660,1.251093,1.454588,1.521240,1,1,0.713340,0.748907
9.2500,1.287323,1.252562,1.453351,1.518480,1,1,0.712677,0.747438
9.3000,1.287963,1.253997,1.452156,1.515783,1,1,0.712037,0.746003
9.3500,1.288581,1.255400,1.451002,1.513147,1,1,0.711419,0.744600
9.4000,1.289178,1.256773,1.449886,1.510569,1,1,0.710822,0.743227
9.4500,1.289758,1.258116,1.448804,1.508048,1,1,0.710242,0.741884
9.5000,1.290320,1.259431,1.447754,1.505579,1,1,0.709680,0.740569
9.5500,1.290867,1.260718,1.446733,1.503162,1,1,0.709133,0.739282
9.6000,1.291400,1.261981,1.445739,1.500793,1,1,0.708600,0.738019
9.6500,1.291920,1.263219,1.444769,1.498471,1,1,0.708080,0.736781
9.7000,1.292427,1.264433,1.443822,1.496193,1,1,0.707573,0.735567
9.7500,1.292925,1.265625,1.442894,1.493958,1,1,0.707075,0.734375
9.8000,1.293413,1.266796,1.441984,1.491763,1,1,0.706587,0.733204
9.8500,1.293892,1.267946,1.441089,1.489606,1,1,0.706108,0.732054
9.9000,1.294364,1.269077,1.440209,1.487486,1,1,0.705636,0.730923
9.9500,1.294829,1.270190,1.439341,1.485401,1,1,0.705171,0.729810
10.0000,1.295289,1.271286,1.438483,1.483349,1,1,0.704711,0.728714
10.0500,1.295744,1.272364,1.437635,1.481329,1,1,0.704256,0.727636
10.1000,1.296195,1.273427,1.436793,1.479338,1,1,0.703805,0.726573
10.1500,1.296643,1.274475,1.435958,1.477377,1,1,0.703357,0.725525
10.2000,1.297089,1.275508,1.435128,1.475442,1,1,0.702911,0.724492
10.2500,1.297532,1.276528,1.434302,1.473534,1,1,0.702468,0.723472
10.3000,1.297974,1.277534,1.433478,1.471651,1,1,0.702026,0.722466
10.3500,1.298415,1.278528,1.432655,1.469791,1,1,0.701585,0.721472
10.4000,1.298856,1.279510,1.431834,1.467954,1,1,0.701144,0.720490
10.4500,1.299297,1.280481,1.431012,1.466138,1,1,0.700703,0.719519
10.5000,1.299738,1.281441,1.430190,1.464343,1,1,0.700262,0.718559
10.5500,1.300181,1.282390,1.429365,1.462568,1,1,0.699819,0.717610
10.6000,1.300624,1.283330,1.428539,1.460812,1,1,0.699376,0.716670
10.6500,1.301069,1.284260,1.427710,1.459074,1,1,0.698931,0.715740
10.7000,1.301516,1.285181,1.426878,1.457353,1,1,0.698484,0.714819
10.7500,1.301965,1.286092,1.426043,1.455650,1,1,0.698035,0.713908
10.8000,1.302415,1.286996,1.425203,1.453963,1,1,0.697585,0.713004
10.8500,1.302868,1.287890,1.424360,1.452291,1,1,0.697132,0.712110
10.9000,1.303323,1.288777,1.423513,1.450635,1,1,0.696677,0.711223
10.9500,1.303780,1.289656,1.422661,1.448995,1,1,0.696220,0.710344
11.0000,1.304240,1.290527,1.421805,1.447368,1,1,0.695760,0.709473
11.0500,1.304702,1.291391,1.420945,1.445757,1,1,0.695298,0.708609
11.1000,1.305167,1.292247,1.420080,1.444159,1,1,0.694833,0.707753
11.1500,1.305634,1.293095,1.419212,1.442575,1,1,0.694366,0.706905
11.2000,1.306103,1.293937,1.418339,1.441005,1,1,0.693897,0.706063
11.2500,1.306574,1.294771,1.417462,1.439449,1,1,0.693426,0.705229
11.3000,1.307047,1.295598,1.416583,1.437907,1,1,0.692953,0.704402
11.3500,1.307521,1.296418,1.415699,1.436378,1,1,0.692479,0.703582
11.4000,1.307998,1.297231,1.414813,1.434863,1,1,0.692002,0.702769
11.4500,1.308475,1.298036,1.413925,1.433362,1,1,0.691525,0.701964
11.5000,1.308954,1.298834,1.413034,1.431874,1,1,0.691046,0.701166
11.5500,1.309434,1.299625,1.412142,1.430401,1,1,0.690566,0.700375
11.6000,1.309914,1.300408,1.411249,1.428942,1,1,0.690086,0.699592
11.6500,1.310395,1.301184,1.410355,1.427497,1,1,0.689605,0.698816
11.7000,1.310875,1.301951,1.409462,1.426067,1,1,0.689125,0.698049
11.7500,1.311356,1.302711,1.408569,1.424652,1,1,0.688644,0.697289
11.8000,1.311835,1.303463,1.407677,1.423252,1,1,0.688165,0.696537
11.8500,1.312314,1.304206,1.406788,1.421868,1,1,0.687686,0.695794
11.9000,1.312791,1.304941,1.405900,1.420500,1,1,0.687209,0.695059
11.9500,1.313267,1.305667,1.405017,1.419149,1,1,0.686733,0.694333
12.0000,1.313740,1.306385,1.404137,1.417814,1,1,0.686260,0.693615
12.0500,1.314211,1.307093,1.403262,1.416497,1,1,0.685789,0.692907
12.1000,1.314679,1.307791,1.402393,1.415197,1,1,0.685321,0.692209
12.1500,1.315144,1.308480,1.401530,1.413916,1,1,0.684856,0.691520
12.2000,1.315604,1.309158,1.400675,1.412654,1,1,0.684396,0.690842
12.2500,1.316060,1.309827,1.399828,1.411411,1,1,0.683940,0.690173
12.3000,1.316512,1.310484,1.398989,1.410189,1,1,0.683488,0.689516
12.3500,1.316958,1.311131,1.398161,1.408986,1,1,0.683042,0.688869
12.4000,1.317399,1.311766,1.397343,1.407806,1,1,0.682601,0.688234
12.4500,1.317833,1.312390,1.396536,1.406647,1,1,0.682167,0.687610
12.5000,1.318261,1.313001,1.395742,1.405510,1,1,0.681739,0.686999
12.5500,1.318681,1.313601,1.394962,1.404397,1,1,0.681319,0.686399
12.6000,1.319094,1.314187,1.394196,1.403307,1,1,0.680906,0.685813
12.6500,1.319499,1.314761,1.393444,1.402242,1,1,0.680501,0.685239
12.7000,1.319895,1.315320,1.392710,1.401202,1,1,0.680105,0.684680
12.7500,1.320282,1.315866,1.391992,1.400188,1,1,0.679718,0.684134
12.8000,1.320659,1.316398,1.391292,1.399200,1,1,0.679341,0.683602
12.8500,1.321026,1.316916,1.390611,1.398240,1,1,0.678974,0.683084
12.9000,1.321383,1.317418,1.389949,1.397307,1,1,0.678617,0.682582
12.9500,1.321728,1.317905,1.389309,1.396403,1,1,0.678272,0.682095
13.0000,1.322062,1.318376,1.388690,1.395529,1,1,0.677938,0.681624
13.0500,1.322384,1.318831,1.388093,1.394684,1,1,0.677616,0.681169
13.1000,1.322693,1.319270,1.387520,1.393870,1,1,0.677307,0.680730
13.1500,1.322989,1.319691,1.386971,1.393087,1,1,0.677011,0.680309
13.2000,1.323272,1.320096,1.386446,1.392336,1,1,0.676728,0.679904
13.2500,1.323540,1.320483,1.385948,1.391618,1,1,0.676460,0.679517
13.3000,1.323795,1.320853,1.385477,1.390933,1,1,0.676205,0.679147
13.3500,1.324034,1.321204,1.385032,1.390282,1,1,0.675966,0.678796
13.4000,1.324259,1.321536,1.384616,1.389665,1,1,0.675741,0.678464
13.4500,1.324468,1.321850,1.384229,1.389083,1,1,0.675532,0.678150
13.5000,1.324661,1.322145,1.383871,1.388536,1,1,0.675339,0.677855
13.5500,1.324837,1.322420,1.383544,1.388026,1,1,0.675163,0.677580
13.6000,1.324997,1.322676,1.383247,1.387551,1,1,0.675003,0.677324
13.6500,1.325140,1.322912,1.382982,1.387114,1,1,0.674860,0.677088
13.7000,1.325266,1.323127,1.382749,1.386714,1,1,0.674734,0.676873
13.7500,1.325374,1.323323,1.382549,1.386352,1,1,0.674626,0.676677
13.8000,1.325465,1.323498,1.382381,1.386027,1,1,0.674535,0.676502
13.8500,1.325537,1.323652,1.382247,1.385741,1,1,0.674463,0.676348
13.9000,1.325591,1.323785,1.382147,1.385494,1,1,0.674409,0.676215
13.9500,1.325627,1.323898,1.382080,1.385285,1,1,0.674373,0.676102
14.0000,1.325644,1.323990,1.382049,1.385115,1,1,0.674356,0.676010
14.0500,1.325642,1.324060,1.382052,1.384984,1,1,0.674358,0.675940
14.1000,1.325622,1.324110,1.382089,1.384892,1,1,0.674378,0.675890
14.1500,1.325583,1.324138,1.382162,1.384839,1,1,0.674417,0.675862
14.2000,1.325525,1.324146,1.382270,1.384826,1,1,0.674475,0.675854
14.2500,1.325448,1.324132,1.382413,1.384851,1,1,0.674552,0.675868
14.3000,1.325352,1.324098,1.382590,1.384915,1,1,0.674648,0.675902
14.3500,1.325237,1.324042,1.382803,1.385018,1,1,0.674763,0.675958
14.4000,1.325103,1.323966,1.383051,1.385159,1,1,0.674897,0.676034
14.4500,1.324951,1.323869,1.383333,1.385338,1,1,0.675049,0.676131
14.5000,1.324781,1.323752,1.383649,1.385555,1,1,0.675219,0.676248
14.5500,1.324592,1.323615,1.383999,1.385809,1,1,0.675408,0.676385
14.6000,1.324385,1.323459,1.384383,1.386100,1,1,0.675615,0.676541
14.6500,1.324160,1.323282,1.384800,1.386427,1,1,0.675840,0.676718
14.7000,1.323917,1.323087,1.385249,1.386789,1,1,0.676083,0.676913
14.7500,1.323658,1.322872,1.385731,1.387187,1,1,0.676342,0.677128
14.8000,1.323381,1.322639,1.386243,1.387619,1,1,0.676619,0.677361
14.8500,1.323088,1.322389,1.386786,1.388084,1,1,0.676912,0.677611
14.9000,1.322779,1.322120,1.387359,1.388582,1,1,0.677221,0.677880
14.9500,1.322455,1.321835,1.387961,1.389111,1,1,0.677545,0.678165
15.0000,1.322115,1.321533,1.388591,1.389671,1,1,0.677885,0.678467
15.0500,1.321761,1.321215,1.389248,1.390261,1,1,0.678239,0.678785
15.1000,1.321392,1.320882,1.389932,1.390879,1,1,0.678608,0.679118
15.1500,1.321010,1.320534,1.390640,1.391525,1,1,0.678990,0.679466
15.2000,1.320616,1.320171,1.391372,1.392197,1,1,0.679384,0.679829
15.2500,1.320209,1.319796,1.392128,1.392894,1,1,0.679791,0.680204
15.3000,1.319790,1.319407,1.392904,1.393615,1,1,0.680210,0.680593
15.3500,1.319360,1.319006,1.393702,1.394359,1,1,0.680640,0.680994
15.4000,1.318921,1.318594,1.394518,1.395123,1,1,0.681079,0.681406
15.4500,1.318471,1.318172,1.395352,1.395908,1,1,0.681529,0.681828
15.5000,1.318013,1.317739,1.396202,1.396711,1,1,0.681987,0.682261
15.5500,1.317547,1.317297,1.397068,1.397531,1,1,0.682453,0.682703
15.6000,1.317073,1.316848,1.397946,1.398366,1,1,0.682927,0.683152
15.6500,1.316594,1.316390,1.398837,1.399215,1,1,0.683406,0.683610
15.7000,1.316108,1.315927,1.399739,1.400076,1,1,0.683892,0.684073
15.7500,1.315618,1.315457,1.400649,1.400948,1,1,0.684382,0.684543
15.8000,1.315124,1.314983,1.401567,1.401829,1,1,0.684876,0.685017
15.8500,1.314626,1.314504,1.402491,1.402718,1,1,0.685374,0.685496
15.9000,1.314127,1.314023,1.403419,1.403613,1,1,0.685873,0.685977
15.9500,1.313626,1.313539,1.404350,1.404512,1,1,0.686374,0.686461
16.0000,1.313124,1.313054,1.405282,1.405413,1,1,0.686876,0.686946
16.0500,1.312623,1.312568,1.406214,1.406316,1,1,0.687377,0.687432
16.1000,1.312123,1.312083,1.407143,1.407217,1,1,0.687877,0.687917
16.1500,1.311625,1.311599,1.408069,1.408117,1,1,0.688375,0.688401
16.2000,1.311129,1.311117,1.408990,1.409013,1,1,0.688871,0.688883
16.2500,1.310638,1.310638,1.409903,1.409903,1,1,0.689362,0.689362
16.3000,1.310151,1.310163,1.410809,1.410786,1,1,0.689849,0.689837
16.3500,1.309669,1.309693,1.411705,1.411660,1,1,0.690331,0.690307
16.4000,1.309194,1.309228,1.412589,1.412524,1,1,0.690806,0.690772
16.4500,1.308725,1.308770,1.413460,1.413376,1,1,0.691275,0.691230
16.5000,1.308264,1.308319,1.414317,1.414215,1,1,0.691736,0.691681
16.5500,1.307812,1.307876,1.415158,1.415040,1,1,0.692188,0.692124
16.6000,1.307369,1.307442,1.415982,1.415848,1,1,0.692631,0.692558
16.6500,1.306937,1.307017,1.416787,1.416638,1,1,0.693063,0.692983
16.7000,1.306515,1.306602,1.417572,1.417409,1,1,0.693485,0.693398
16.7500,1.306104,1.306199,1.418336,1.418160,1,1,0.693896,0.693801
16.8000,1.305705,1.305807,1.419078,1.418890,1,1,0.694295,0.694193
16.8500,1.305320,1.305427,1.419796,1.419596,1,1,0.694680,0.694573
16.9000,1.304947,1.305060,1.420489,1.420279,1,1,0.695053,0.694940
16.9500,1.304589,1.304707,1.421157,1.420937,1,1,0.695411,0.695293
17.0000,1.304245,1.304368,1.421797,1.421568,1,1,0.695755,0.695632
17.0500,1.303916,1.304043,1.422409,1.422173,1,1,0.696084,0.695957
17.1000,1.303602,1.303733,1.422993,1.422749,1,1,0.696398,0.696267
17.1500,1.303305,1.303440,1.423547,1.423296,1,1,0.696695,0.696560
17.2000,1.303024,1.303162,1.424071,1.423813,1,1,0.696976,0.696838
17.2500,1.302759,1.302900,1.424563,1.424300,1,1,0.697241,0.697100
17.3000,1.302511,1.302654,1.425024,1.424759,1,1,0.697489,0.697346
17.3500,1.302246,1.302389,1.425518,1.425251,1,1,0.697754,0.697611
17.4000,1.301965,1.302108,1.426041,1.425776,1,1,0.698035,0.697892
17.4500,1.301670,1.301808,1.426591,1.426334,1,1,0.698330,0.698192
17.5000,1.301362,1.301490,1.427166,1.426926,1,1,0.698638,0.698510
17.5500,1.301041,1.301154,1.427763,1.427552,1,1,0.698959,0.698846
