time,mean_current,resolved_phase,epsilon_eff,slips,baseline_magnitude,gated_magnitude,baseline_entropy,gated_entropy,gated_alpha,gated_mu
5.9000,0.689124,2.165048,0.602934,3,1.526813,1.403127,0.962084,0.964308,1.018292,0.582238
5.9500,0.618117,2.287366,0.673822,2,1.502945,1.379755,0.969039,0.971197,1.009632,0.589299
6.0000,0.579086,2.297274,0.700000,0,1.478783,1.355750,0.967250,0.969342,1.004239,0.593509
6.0500,0.613600,2.313284,0.673822,0,1.456356,1.333625,0.965524,0.967550,1.005709,0.592376
6.1000,0.682950,2.218738,0.602934,0,1.439828,1.317332,0.963881,0.965838,1.007116,0.591280
6.1500,0.598632,2.058359,0.506671,1,1.424717,1.302380,0.966464,0.968355,1.008450,0.590234
6.2000,0.512292,2.354238,0.407553,0,1.400969,1.279127,0.964663,0.966491,1.006485,0.591772
6.2500,0.747046,2.456570,0.322952,0,1.382232,1.261133,0.963021,0.964773,1.007942,0.590633
6.3000,0.916426,2.253889,0.260990,0,1.377282,1.256543,0.961484,0.963142,1.009274,0.589584
6.3500,0.960762,2.077504,0.221382,0,1.380685,1.259944,0.959962,0.961518,1.010528,0.588587
6.4000,0.957767,1.977596,0.199069,0,1.387036,1.266151,0.958435,0.959889,1.011767,0.587595
6.4500,0.948600,1.934858,0.187924,0,1.394116,1.273086,0.956908,0.958259,1.013001,0.586599
6.5000,0.942967,1.924627,0.182970,0,1.401246,1.280135,0.955385,0.956636,1.014225,0.585603
6.5500,0.940488,1.930173,0.181004,0,1.408229,1.287128,0.953871,0.955021,1.015435,0.584611
6.6000,0.939569,1.942457,0.180306,0,1.415007,1.294016,0.952365,0.953425,1.016630,0.583624
6.6500,0.939254,1.957314,0.180084,0,1.421564,1.300782,0.950868,0.951876,1.017801,0.582649
6.7000,0.939139,1.973069,0.180021,0,1.427898,1.307422,0.949393,0.950371,1.018930,0.581702
6.7500,0.939080,1.989132,0.180005,0,1.434012,1.313931,0.947960,0.948910,1.020018,0.580782
6.8000,0.939036,2.005319,0.180001,0,1.439909,1.320311,0.946569,0.947492,1.021067,0.579890
6.8500,0.938994,2.021577,0.180000,0,1.445595,1.326561,0.945219,0.946115,1.022078,0.579023
6.9000,0.938954,2.037892,0.180000,0,1.451074,1.332682,0.943907,0.944777,1.023054,0.578181
6.9500,0.938913,2.054259,0.180000,0,1.456352,1.338673,0.942634,0.943479,1.023994,0.577364
7.0000,0.938873,2.070675,0.180000,0,1.461433,1.344536,0.941398,0.942218,1.024902,0.576570
7.0500,0.938834,2.087138,0.180000,0,1.466323,1.350271,0.940197,0.940994,1.025778,0.575800
7.1000,0.938796,2.103647,0.180000,0,1.471025,1.355880,0.939032,0.939805,1.026623,0.575052
7.1500,0.938759,2.120197,0.180000,0,1.475544,1.361362,0.937900,0.938651,1.027439,0.574325
7.2000,0.938723,2.136787,0.180000,0,1.479886,1.366719,0.936801,0.937530,1.028227,0.573620
7.2500,0.938688,2.153414,0.180000,0,1.484055,1.371952,0.935733,0.936441,1.028988,0.572935
7.3000,0.938656,2.170076,0.180000,0,1.488055,1.377063,0.934697,0.935385,1.029722,0.572270
7.3500,0.938626,2.186770,0.180000,0,1.491892,1.382053,0.933691,0.934358,1.030432,0.571624
7.4000,0.938598,2.203494,0.180000,0,1.495569,1.386922,0.932714,0.933362,1.031117,0.570997
7.4500,0.938572,2.220244,0.180000,0,1.499091,1.391673,0.931765,0.932394,1.031779,0.570388
7.5000,0.938549,2.237017,0.180000,0,1.502463,1.396308,0.930844,0.931455,1.032419,0.569797
7.5500,0.938529,2.253811,0.180000,0,1.505689,1.400827,0.929949,0.930543,1.033038,0.569223
7.6000,0.938511,2.270624,0.180000,0,1.508774,1.405233,0.929081,0.929657,1.033635,0.568665
7.6500,0.938497,2.287451,0.180000,0,1.511721,1.409528,0.928238,0.928797,1.034213,0.568124
7.7000,0.938485,2.304290,0.180000,0,1.514536,1.413713,0.927419,0.927962,1.034771,0.567598
7.7500,0.938477,2.321139,0.180000,0,1.517222,1.417790,0.926624,0.927151,1.035311,0.567088
7.8000,0.938472,2.337994,0.180000,0,1.519784,1.421761,0.925851,0.926364,1.035834,0.566592
7.8500,0.938470,2.354852,0.180000,0,1.522226,1.425629,0.925102,0.925599,1.036339,0.566111
7.9000,0.938471,2.371710,0.180000,0,1.524552,1.429395,0.924374,0.924857,1.036827,0.565644
7.9500,0.938476,2.388566,0.180000,0,1.526766,1.433062,0.923667,0.924136,1.037300,0.565190
8.0000,0.938484,2.405416,0.180000,0,1.528872,1.436631,0.922981,0.923436,1.037757,0.564750
8.0500,0.938495,2.422257,0.180000,0,1.530875,1.440105,0.922314,0.922756,1.038199,0.564322
8.1000,0.938509,2.439086,0.180000,0,1.532778,1.443487,0.921667,0.922096,1.038627,0.563907
8.1500,0.938526,2.455901,0.180000,0,1.534586,1.446777,0.921039,0.921456,1.039041,0.563503
8.2000,0.938545,2.472699,0.180000,0,1.536301,1.449980,0.920429,0.920833,1.039442,0.563112
8.2500,0.938568,2.489476,0.180000,0,1.537928,1.453097,0.919836,0.920229,1.039830,0.562732
8.3000,0.938593,2.506229,0.180000,0,1.539471,1.456129,0.919261,0.919643,1.040206,0.562362
8.3500,0.938621,2.522957,0.180000,0,1.540934,1.459081,0.918702,0.919073,1.040570,0.562004
8.4000,0.938651,2.539656,0.180000,0,1.542319,1.461954,0.918160,0.918520,1.040922,0.561656
8.4500,0.938683,2.556323,0.180000,0,1.543631,1.464749,0.917633,0.917983,1.041262,0.561318
8.5000,0.938717,2.572956,0.180000,0,1.544874,1.467471,0.917122,0.917461,1.041592,0.560989
8.5500,0.938753,2.589552,0.180000,0,1.546050,1.470121,0.916625,0.916955,1.041912,0.560671
8.6000,0.938790,2.606109,0.180000,0,1.547163,1.472701,0.916143,0.916463,1.042222,0.560361
8.6500,0.938828,2.622624,0.180000,0,1.548216,1.475213,0.915675,0.915986,1.042521,0.560061
8.7000,0.938867,2.639095,0.180000,0,1.549213,1.477661,0.915221,0.915522,1.042812,0.559769
8.7500,0.938907,2.655519,0.180000,0,1.550157,1.480046,0.914779,0.915072,1.043093,0.559486
8.8000,0.938947,2.671894,0.180000,0,1.551051,1.482371,0.914351,0.914635,1.043366,0.559211
8.8500,0.938988,2.688218,0.180000,0,1.551898,1.484637,0.913934,0.914211,1.043630,0.558944
8.9000,0.939028,2.704489,0.180000,0,1.552701,1.486847,0.913530,0.913798,1.043885,0.558684
8.9500,0.939068,2.720705,0.180000,0,1.553463,1.489003,0.913138,0.913398,1.044133,0.558432
9.0000,0.939108,2.736863,0.180000,0,1.554186,1.491108,0.912757,0.913010,1.044373,0.558188
9.0500,0.939146,2.752962,0.180000,0,1.554874,1.493163,0.912387,0.912632,1.044606,0.557950
9.1000,0.939184,2.769001,0.180000,0,1.555530,1.495171,0.912028,0.912266,1.044832,0.557720
9.1500,0.939220,2.784977,0.180000,0,1.556154,1.497133,0.911679,0.911910,1.045050,0.557496
9.2000,0.939255,2.800890,0.180000,0,1.556751,1.499052,0.911340,0.911565,1.045262,0.557279
9.2500,0.939288,2.816736,0.180000,0,1.557323,1.500929,0.911011,0.911230,1.045467,0.557067
9.3000,0.939319,2.832517,0.180000,0,1.557872,1.502766,0.910692,0.910904,1.045666,0.556863
9.3500,0.939347,2.848229,0.180000,0,1.558399,1.504566,0.910382,0.910588,1.045859,0.556664
9.4000,0.939374,2.863872,0.180000,0,1.558908,1.506330,0.910081,0.910281,1.046046,0.556470
9.4500,0.939397,2.879445,0.180000,0,1.559401,1.508060,0.909789,0.909983,1.046228,0.556283
9.5000,0.939419,2.894946,0.180000,0,1.559879,1.509757,0.909505,0.909693,1.046403,0.556100
9.5500,0.939437,2.910377,0.180000,0,1.560344,1.511423,0.909229,0.909412,1.046574,0.555924
9.6000,0.939452,2.925734,0.180000,0,1.560798,1.513060,0.908961,0.909139,1.046739,0.555752
9.6500,0.939464,2.941019,0.180000,0,1.561243,1.514669,0.908702,0.908874,1.046899,0.555585
9.7000,0.939474,2.956229,0.180000,0,1.561681,1.516252,0.908449,0.908617,1.047055,0.555423
9.7500,0.939479,2.971367,0.180000,0,1.562113,1.517810,0.908204,0.908367,1.047205,0.555266
9.8000,0.939482,2.986430,0.180000,0,1.562540,1.519345,0.907966,0.908124,1.047351,0.555113
9.8500,0.939482,3.001418,0.180000,0,1.562964,1.520857,0.907735,0.907888,1.047493,0.554965
9.9000,0.939478,3.016333,0.180000,0,1.563387,1.522348,0.907511,0.907660,1.047630,0.554821
9.9500,0.939471,3.031174,0.180000,0,1.563809,1.523820,0.907293,0.907438,1.047764,0.554681
10.0000,0.939461,3.045941,0.180000,0,1.564231,1.525274,0.907082,0.907222,1.047893,0.554545
10.0500,0.939448,3.060634,0.180000,0,1.564656,1.526709,0.906876,0.907012,1.048018,0.554413
